Small Election,5.2.16.1,,,,,,,,,,,,,,,,,
,,,,,,,,Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Minister of Farming (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Master of Magic (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1),Secretary of Treasure (Vote For=1)
76,Tabulator C,Batch 3,29,Tabulator C-Batch 3-29,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
77,Tabulator C,Batch 3,30,Tabulator C-Batch 3-30,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
78,Tabulator C,Batch 3,31,Tabulator C-Batch 3-31,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
79,Tabulator C,Batch 3,32,Tabulator C-Batch 3-32,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
80,Tabulator C,Batch 3,33,Tabulator C-Batch 3-33,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
81,Tabulator C,Batch 3,34,Tabulator C-Batch 3-34,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
82,Tabulator C,Batch 3,35,Tabulator C-Batch 3-35,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
83,Tabulator C,Batch 3,36,Tabulator C-Batch 3-36,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
84,Tabulator C,Batch 3,37,Tabulator C-Batch 3-37,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
85,Tabulator C,Batch 3,38,Tabulator C-Batch 3-38,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
86,Tabulator C,Batch 3,39,Tabulator C-Batch 3-39,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
87,Tabulator C,Batch 3,40,Tabulator C-Batch 3-40,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
88,Tabulator C,Batch 3,41,Tabulator C-Batch 3-41,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
89,Tabulator C,Batch 3,42,Tabulator C-Batch 3-42,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
90,Tabulator C,Batch 3,43,Tabulator C-Batch 3-43,Election Day,precinct-portion-1,ballot-type-1,0,1,0,1,0,0,0,0,,,
91,Tabulator C,Batch 3,44,Tabulator C-Batch 3-44,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
92,Tabulator C,Batch 3,45,Tabulator C-Batch 3-45,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
93,Tabulator A,Batch 4,1,Tabulator A-Batch 4-1,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
94,Tabulator A,Batch 4,2,Tabulator A-Batch 4-2,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
95,Tabulator A,Batch 4,3,Tabulator A-Batch 4-3,Election Day,precinct-portion-1,ballot-type-1,0,1,0,1,0,0,0,0,,,
96,Tabulator A,Batch 4,4,Tabulator A-Batch 4-4,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
97,Tabulator A,Batch 4,5,Tabulator A-Batch 4-5,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
98,Tabulator A,Batch 4,6,Tabulator A-Batch 4-6,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
99,Tabulator A,Batch 4,7,Tabulator A-Batch 4-7,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
100,Tabulator A,Batch 4,8,Tabulator A-Batch 4-8,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
101,Tabulator A,Batch 4,9,Tabulator A-Batch 4-9,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
102,Tabulator A,Batch 4,10,Tabulator A-Batch 4-10,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
103,Tabulator A,Batch 4,11,Tabulator A-Batch 4-11,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
104,Tabulator A,Batch 4,12,Tabulator A-Batch 4-12,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
105,Tabulator A,Batch 4,13,Tabulator A-Batch 4-13,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
106,Tabulator A,Batch 4,14,Tabulator A-Batch 4-14,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
107,Tabulator A,Batch 4,15,Tabulator A-Batch 4-15,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
108,Tabulator A,Batch 4,16,Tabulator A-Batch 4-16,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
109,Tabulator A,Batch 4,17,Tabulator A-Batch 4-17,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
110,Tabulator A,Batch 4,18,Tabulator A-Batch 4-18,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
111,Tabulator A,Batch 4,19,Tabulator A-Batch 4-19,Election Day,precinct-portion-1,ballot-type-1,0,0,0,1,0,0,0,0,,,
112,Tabulator A,Batch 4,20,Tabulator A-Batch 4-20,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
113,Tabulator A,Batch 4,21,Tabulator A-Batch 4-21,Election Day,precinct-portion-1,ballot-type-1,,,,0,1,0,0,0,,,
114,Tabulator A,Batch 4,22,Tabulator A-Batch 4-22,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
115,Tabulator A,Batch 4,23,Tabulator A-Batch 4-23,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
116,Tabulator A,Batch 4,24,Tabulator A-Batch 4-24,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
117,Tabulator A,Batch 4,25,Tabulator A-Batch 4-25,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
118,Tabulator A,Batch 4,26,Tabulator A-Batch 4-26,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
119,Tabulator A,Batch 4,27,Tabulator A-Batch 4-27,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
120,Tabulator A,Batch 4,28,Tabulator A-Batch 4-28,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
121,Tabulator A,Batch 4,29,Tabulator A-Batch 4-29,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,0,0,0,0,,,
122,Tabulator A,Batch 4,30,Tabulator A-Batch 4-30,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
123,Tabulator A,Batch 4,31,Tabulator A-Batch 4-31,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
124,Tabulator A,Batch 4,32,Tabulator A-Batch 4-32,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
125,Tabulator A,Batch 4,33,Tabulator A-Batch 4-33,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
126,Tabulator A,Batch 4,34,Tabulator A-Batch 4-34,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
127,Tabulator A,Batch 4,35,Tabulator A-Batch 4-35,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
128,Tabulator A,Batch 4,36,Tabulator A-Batch 4-36,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
129,Tabulator A,Batch 4,37,Tabulator A-Batch 4-37,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
130,Tabulator A,Batch 4,38,Tabulator A-Batch 4-38,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
131,Tabulator A,Batch 4,39,Tabulator A-Batch 4-39,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
132,Tabulator A,Batch 4,40,Tabulator A-Batch 4-40,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
133,Tabulator A,Batch 4,41,Tabulator A-Batch 4-41,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
134,Tabulator A,Batch 4,42,Tabulator A-Batch 4-42,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
135,Tabulator A,Batch 4,43,Tabulator A-Batch 4-43,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
136,Tabulator A,Batch 4,44,Tabulator A-Batch 4-44,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
137,Tabulator A,Batch 4,45,Tabulator A-Batch 4-45,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
138,Tabulator A,Batch 4,46,Tabulator A-Batch 4-46,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
139,Tabulator B,Batch 5,1,Tabulator B-Batch 5-1,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
140,Tabulator B,Batch 5,2,Tabulator B-Batch 5-2,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
141,Tabulator B,Batch 5,3,Tabulator B-Batch 5-3,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
142,Tabulator B,Batch 5,4,Tabulator B-Batch 5-4,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
143,Tabulator B,Batch 5,5,Tabulator B-Batch 5-5,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
144,Tabulator B,Batch 5,6,Tabulator B-Batch 5-6,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
145,Tabulator B,Batch 5,7,Tabulator B-Batch 5-7,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
146,Tabulator B,Batch 5,8,Tabulator B-Batch 5-8,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
147,Tabulator B,Batch 5,9,Tabulator B-Batch 5-9,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
148,Tabulator B,Batch 5,10,Tabulator B-Batch 5-10,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
149,Tabulator B,Batch 5,11,Tabulator B-Batch 5-11,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
150,Tabulator B,Batch 5,12,Tabulator B-Batch 5-12,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
151,Tabulator B,Batch 5,13,Tabulator B-Batch 5-13,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
152,Tabulator C,Batch 6,1,Tabulator C-Batch 6-1,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
153,Tabulator C,Batch 6,2,Tabulator C-Batch 6-2,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
154,Tabulator C,Batch 6,3,Tabulator C-Batch 6-3,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
155,Tabulator C,Batch 6,4,Tabulator C-Batch 6-4,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
156,Tabulator C,Batch 6,5,Tabulator C-Batch 6-5,Election Day,precinct-portion-1,ballot-type-1,1,1,1,1,0,0,0,0,,,
157,Tabulator C,Batch 6,6,Tabulator C-Batch 6-6,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
158,Tabulator C,Batch 6,7,Tabulator C-Batch 6-7,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
159,Tabulator C,Batch 6,8,Tabulator C-Batch 6-8,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
160,Tabulator C,Batch 6,9,Tabulator C-Batch 6-9,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
161,Tabulator C,Batch 6,10,Tabulator C-Batch 6-10,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
162,Tabulator C,Batch 6,11,Tabulator C-Batch 6-11,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
163,Tabulator C,Batch 6,12,Tabulator C-Batch 6-12,Election Day,precinct-portion-1,ballot-type-1,,,,1,1,1,1,1,,,
164,Tabulator C,Batch 6,13,Tabulator C-Batch 6-13,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
165,Tabulator C,Batch 6,14,Tabulator C-Batch 6-14,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
166,Tabulator C,Batch 6,15,Tabulator C-Batch 6-15,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
167,Tabulator C,Batch 6,16,Tabulator C-Batch 6-16,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
168,Tabulator C,Batch 6,17,Tabulator C-Batch 6-17,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
169,Tabulator C,Batch 6,18,Tabulator C-Batch 6-18,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
170,Tabulator C,Batch 6,19,Tabulator C-Batch 6-19,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
171,Tabulator C,Batch 6,20,Tabulator C-Batch 6-20,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
172,Tabulator C,Batch 6,21,Tabulator C-Batch 6-21,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
173,Tabulator C,Batch 6,22,Tabulator C-Batch 6-22,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
174,Tabulator C,Batch 6,23,Tabulator C-Batch 6-23,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
175,Tabulator C,Batch 6,24,Tabulator C-Batch 6-24,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
176,Tabulator C,Batch 6,25,Tabulator C-Batch 6-25,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
177,Tabulator C,Batch 6,26,Tabulator C-Batch 6-26,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
178,Tabulator C,Batch 6,27,Tabulator C-Batch 6-27,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
179,Tabulator C,Batch 6,28,Tabulator C-Batch 6-28,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
180,Tabulator C,Batch 6,29,Tabulator C-Batch 6-29,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
181,Tabulator C,Batch 6,30,Tabulator C-Batch 6-30,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
182,Tabulator C,Batch 6,31,Tabulator C-Batch 6-31,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
183,Tabulator C,Batch 6,32,Tabulator C-Batch 6-32,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
184,Tabulator C,Batch 6,33,Tabulator C-Batch 6-33,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
185,Tabulator C,Batch 6,34,Tabulator C-Batch 6-34,Election Day,precinct-portion-1,ballot-type-1,1,0,0,1,0,0,0,0,,,
186,Tabulator C,Batch 6,35,Tabulator C-Batch 6-35,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
187,Tabulator C,Batch 6,36,Tabulator C-Batch 6-36,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
188,Tabulator C,Batch 6,37,Tabulator C-Batch 6-37,Election Day,precinct-portion-1,ballot-type-1,,,,1,0,0,0,0,,,
